scenicness,connectivity,objects,description,id,latitude,longitude,image_path,greenery_pct,building_pct,sky_pct,road_pct,water_pct,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
0,0,"['text (Sorry, we have no imagery here)']",A blank image with a central message stating there is no available imagery.,5513,38.86552059462706,-77.00902629525345,DC_images/dc_5513.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0,-5.2868853,0.16623516,0.34411365,-0.031961624,-0.07907396,0.0016502138,-0.026600534,-0.016792843,-0.017527886,0.015656218,-0.006711191,0.009886497,0.0032754212,-0.0033650047,0.023942504,0.0019974634,-0.006669046,0.006061909,0.008011639,0.0026526868,0.003215003,0.0055720173,0.007131935,-0.0030110667,-0.016715353,0.004773267,-0.0052774884,-0.0038683144,-0.0046521085,-0.002711377,0.006178407,-0.010182924,0.0029273084,0.0047089374,-0.0017115279,-0.0011484297,-0.0014821276,0.0030452681,0.009236875,-0.002369913,-0.0008862257,0.0039468487,-0.005450667,0.0008697639,-0.0049814056,0.0030675686,0.00010868369,0.0019841152,-0.0012305474,0.00024559235
0,0,"[""text: 'Sorry, we have no imagery here.'""]","A blank, featureless screen with a message stating that no imagery is available.",3274,38.93937642368739,-77.05517388863228,DC_images/dc_3274.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0,-5.2868915,0.1661604,0.3441191,-0.031948306,-0.079157375,0.0016636349,-0.02663816,-0.016803768,-0.017520003,0.015678946,-0.006698749,0.009890936,0.003296241,-0.0033647313,0.02390135,0.002005518,-0.0066308714,0.0060268473,0.007965805,0.002662818,0.0032127048,0.0055779424,0.0070876884,-0.0029948216,-0.016697511,0.004778244,-0.005292658,-0.0038574513,-0.004615032,-0.0026904414,0.006157737,-0.010169582,0.0028967655,0.004769482,-0.0016812546,-0.0011621993,-0.0014808093,0.0030730488,0.009237987,-0.002328961,-0.00093870854,0.003918273,-0.0054552928,0.00089143234,-0.0050057843,0.0030828174,8.3167055e-05,0.0019642117,-0.0012523303,0.00017505197
6,2,"['trees', 'fallen branches', 'leaf litter', 'forest floor', 'slope']","A forest scene with dense trees, leaf-covered ground, and limited visible pathways.",8371,38.87992427523264,-76.95140336811288,DC_images/dc_8371.jpg,40.5283203125,0.0,3.852294921875,0.0,0.0,1.4727348,-1.3504217,-1.5046185,3.2869484,-0.76457113,-1.3261199,-1.5001482,-0.19174437,-0.48095426,1.0268269,-0.40755275,0.8155414,0.26051083,-0.18763462,0.0037349062,-0.1926013,-0.57034063,0.08832732,-0.5847036,0.511939,-0.11585434,-0.2855284,-0.9320535,0.42421094,-0.5273067,0.1435014,-0.18116163,-0.7138929,0.06742768,-0.1837354,0.0060835537,0.027629754,0.5847562,-0.30982134,-0.71002465,-0.897431,-0.7859884,-0.33924475,0.5103262,0.15473752,0.17778371,-0.36703894,0.19697513,0.56786853,0.054331124,-0.25380215,-0.036295675,0.066132545,-0.107136115,0.08427441
0,0,"[""text: 'Sorry, we have no imagery here.'""]",This image displays a blank background with a message indicating that there is no available imagery.,3500,38.93577519263336,-77.05055751014874,DC_images/dc_3500.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0,-5.2868915,0.16616268,0.3441164,-0.031951036,-0.07914934,0.0016608745,-0.026632423,-0.016805084,-0.017515896,0.01567668,-0.0067001027,0.009896956,0.0032925643,-0.0033659977,0.023913806,0.0020080882,-0.0066370806,0.006020359,0.007969072,0.002655407,0.003218047,0.0055909515,0.007090171,-0.0029833608,-0.016700797,0.004786385,-0.005283543,-0.0038511183,-0.004610416,-0.0026768693,0.00615816,-0.010177528,0.0029064405,0.004776747,-0.0016939739,-0.0011609374,-0.0014727116,0.0030722753,0.009246793,-0.0023382825,-0.0009530228,0.003924523,-0.0054542175,0.00089521916,-0.004998939,0.0030780805,8.058649e-05,0.001963092,-0.0012512185,0.00015959765
3,6,"['houses', 'cars', 'trash bins', 'power lines', 'trees', 'fence', 'stairs']","A residential street lined with brick row houses, garbage bins, and parked cars under a clear blue sky.",1912,38.95017001446328,-77.08286938632011,DC_images/dc_1912.jpg,6.958984375000001,17.61083984375,30.89453125,2.396240234375,0.0,2.4656873,-1.3130455,1.9232076,-0.48904702,0.3908194,-0.9844801,0.9031779,0.29783702,-1.5366447,1.0288502,0.15665862,0.62872195,-0.30048662,0.18346013,0.14921142,-0.94511014,-0.0883656,0.17121208,-0.69681877,-0.40983376,0.1336132,0.5576844,-0.16278861,-0.10101514,0.6721559,-0.7195604,0.1950133,-0.17769347,-0.23020712,-0.017808123,0.11934917,-0.22852182,0.16701825,-0.030704299,-0.35161042,-0.19048171,-0.07314595,0.08237104,-0.04025995,-0.003398922,-0.41238728,0.09178783,-0.08813017,-0.2021822,0.18202174,-0.014951032,-0.2145859,-0.18480438,0.2715035,0.12276738
0,0,"['text: Sorry, we have no imagery here.']",This image is a blank placeholder with a message stating there is no available imagery.,6010,38.93938944507619,-76.99980799777065,DC_images/dc_6010.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0,-5.2868915,0.16616268,0.34411633,-0.031950794,-0.07915137,0.001665615,-0.026631832,-0.016804738,-0.017514069,0.01567779,-0.006703302,0.009895513,0.0032966945,-0.0033668033,0.023905795,0.0020076735,-0.0066273483,0.0060237683,0.007975712,0.00266287,0.003212588,0.0055806204,0.007093644,-0.0029873408,-0.0166909,0.00478111,-0.0052807606,-0.0038515064,-0.004615407,-0.0026816074,0.0061484743,-0.010175865,0.0028961839,0.0047723693,-0.0016904394,-0.0011565522,-0.0014745896,0.0030801038,0.0092352815,-0.0023272259,-0.0009490079,0.0039158845,-0.00545562,0.00089407817,-0.004998999,0.00307329,8.3512015e-05,0.001963191,-0.0012602427,0.0001641049
4,6,"['trees', 'sidewalk', 'pole', 'bushes', 'building', 'road', 'fence', 'parked cars', 'sign']","A quiet suburban street view with a sidewalk, a residential building, and trees lining the road.",9401,38.88712050652447,-76.93065146098041,DC_images/dc_9401.jpg,44.3896484375,7.093261718750001,12.67431640625,23.460693359375,0.0,1.8771746,-0.10380187,0.87347454,0.99384266,-0.0007943861,0.4646361,0.40375295,-0.43180135,0.5283237,0.2615702,-0.17101073,-0.55218905,0.41756648,-1.0007629,-0.4217669,-0.2797586,0.19425151,0.16913263,0.08682617,-0.13498048,-0.11414798,0.060185835,-0.46061316,0.40384704,-0.19160575,0.26253444,0.008480796,0.030531643,-0.067297384,0.070986174,-0.26499164,0.10556629,0.0756121,0.28355134,0.20592393,0.23570001,0.044367194,-0.14341377,-0.20954232,-0.2651777,-0.25722057,-0.015630411,-0.06509702,0.060617037,-0.064988606,0.2315111,-0.24375941,0.21074884,0.16898578,-0.087554604
6,7,"['cars', 'trees', 'road', 'sidewalk', 'grass', 'street sign', 'fence']",A tree-lined street with parked cars runs alongside a grassy open area under a cloudy sky.,5232,38.97542140028419,-77.01596445301837,DC_images/dc_5232.jpg,38.83740234375,0.221435546875,18.7255859375,31.7744140625,0.0,1.5224277,0.60770506,-0.5816011,-1.237473,-0.8045763,-0.39535084,-0.16601615,-1.310774,-0.12788445,-0.5415399,-0.52323115,-0.60394466,0.70282966,0.6330852,-0.2470758,-0.13608082,0.6499979,-0.16204193,-0.2576021,0.053768467,0.6394382,0.18839888,-0.04643605,0.18726903,-0.07780298,-0.69515216,0.37544551,0.17395455,0.8494583,0.7136227,0.113758594,-0.50597584,0.1468714,0.37058434,-0.16570692,0.021668185,0.1623021,-0.0019214961,-0.10789704,0.32786676,-0.07053534,0.44675866,0.05351848,0.37891063,0.13947546,-0.24046695,0.07475897,-0.71432847,-0.24884683,0.29739004
5,6,"['van', 'pickup truck', 'road', 'power lines', 'trees', 'curb', 'sidewalk', 'hedge', 'house (partially visible)']","A quiet suburban street lined with trees, parked vehicles, and residential houses.",1326,38.921334726591965,-77.0943675253032,DC_images/dc_1326.jpg,40.108642578125,0.791015625,8.277099609375,36.093017578125,0.0,1.8636316,1.224775,-0.1674682,-0.26017904,-1.210439,-0.22123995,0.01202908,0.20599197,0.44989678,-0.3126145,-0.103644766,0.46482325,-0.2385167,0.44137895,-0.76807237,-0.14326638,0.8871793,0.20456907,0.1608001,0.13808173,0.5891735,-0.39884385,-0.32686338,-0.14768529,0.19482204,-0.1645653,0.2046944,0.45436808,-0.05234822,-0.1324354,-0.1263068,-0.17809148,-0.27727646,-0.056521356,0.11083696,0.07571038,0.019201176,0.2914867,0.16526796,-0.16982901,-0.13430633,-0.37255868,0.14535998,0.07982323,-0.12444413,0.33928847,0.11324809,-0.31047723,0.1467743,0.08254936
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image is a blank screen with a message stating there is no imagery available.,5385,38.84029678622692,-77.01132681677731,DC_images/dc_5385.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0,-5.2868905,0.16616456,0.34411722,-0.031950224,-0.07915088,0.0016655817,-0.026635928,-0.016802626,-0.01751588,0.015675819,-0.0066973297,0.009897789,0.003297328,-0.0033672885,0.023912635,0.0020118246,-0.0066230544,0.006026269,0.00797643,0.002662526,0.0032162394,0.0055828635,0.0070980005,-0.0029822704,-0.016693396,0.004781908,-0.005283737,-0.0038509704,-0.0046186466,-0.0026848791,0.0061456533,-0.010178348,0.0028934826,0.0047704075,-0.0016851866,-0.0011566158,-0.0014795382,0.0030815648,0.00924056,-0.0023271951,-0.0009540141,0.003917721,-0.0054505784,0.0008938903,-0.0049959077,0.003070467,8.100265e-05,0.0019639288,-0.0012627566,0.0001675812
