scenicness,connectivity,objects,description,id,latitude,longitude,image_path,greenery_pct,building_pct,sky_pct,road_pct,water_pct
0,0,"['text (Sorry, we have no imagery here)']",A blank image with a central message stating there is no available imagery.,5513,38.86552059462706,-77.00902629525345,DC_images/dc_5513.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]","A blank, featureless screen with a message stating that no imagery is available.",3274,38.93937642368739,-77.05517388863228,DC_images/dc_3274.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
6,2,"['trees', 'fallen branches', 'leaf litter', 'forest floor', 'slope']","A forest scene with dense trees, leaf-covered ground, and limited visible pathways.",8371,38.87992427523264,-76.95140336811288,DC_images/dc_8371.jpg,40.5283203125,0.0,3.852294921875,0.0,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",This image displays a blank background with a message indicating that there is no available imagery.,3500,38.93577519263336,-77.05055751014874,DC_images/dc_3500.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
3,6,"['houses', 'cars', 'trash bins', 'power lines', 'trees', 'fence', 'stairs']","A residential street lined with brick row houses, garbage bins, and parked cars under a clear blue sky.",1912,38.95017001446328,-77.08286938632011,DC_images/dc_1912.jpg,6.958984375000001,17.61083984375,30.89453125,2.396240234375,0.0
0,0,"['text: Sorry, we have no imagery here.']",This image is a blank placeholder with a message stating there is no available imagery.,6010,38.93938944507619,-76.99980799777065,DC_images/dc_6010.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
4,6,"['trees', 'sidewalk', 'pole', 'bushes', 'building', 'road', 'fence', 'parked cars', 'sign']","A quiet suburban street view with a sidewalk, a residential building, and trees lining the road.",9401,38.88712050652447,-76.93065146098041,DC_images/dc_9401.jpg,44.3896484375,7.093261718750001,12.67431640625,23.460693359375,0.0
6,7,"['cars', 'trees', 'road', 'sidewalk', 'grass', 'street sign', 'fence']",A tree-lined street with parked cars runs alongside a grassy open area under a cloudy sky.,5232,38.97542140028419,-77.01596445301837,DC_images/dc_5232.jpg,38.83740234375,0.221435546875,18.7255859375,31.7744140625,0.0
5,6,"['van', 'pickup truck', 'road', 'power lines', 'trees', 'curb', 'sidewalk', 'hedge', 'house (partially visible)']","A quiet suburban street lined with trees, parked vehicles, and residential houses.",1326,38.921334726591965,-77.0943675253032,DC_images/dc_1326.jpg,40.108642578125,0.791015625,8.277099609375,36.093017578125,0.0
0,0,"[""text: 'Sorry, we have no imagery here.'""]",The image is a blank screen with a message stating there is no imagery available.,5385,38.84029678622692,-77.01132681677731,DC_images/dc_5385.jpg,0.0009765625,0.0,99.9990234375,0.0,0.0
